bib,name,gender,country,age_group,point,overall_rank,group_rank,gender_rank,time_overall,time_swim,time_bike,time_run,time_T1,time_T2,link,certificate
583,"Ramli, Faizol",male,mys,40-44,"1,000",816,138,708,16:51:08,01:47:50,07:46:36,06:50:58,00:12:27,00:13:17,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=583&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=583&rd=20161112
363,"Yaakob, Mohd Faizul",male,mys,35-39,"1,000",774,152,676,16:33:32,01:55:34,07:45:34,06:27:36,00:11:30,00:13:18,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=363&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=363&rd=20161112
743,"Medak, Alicja",female,pol,40-44,"4,462",212,7,25,11:55:52,01:15:52,06:35:31,03:55:25,00:03:37,00:05:27,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=743&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=743&rd=20161112
504,"Ng, Sam",male,mys,35-39,"3,003",283,49,241,12:40:09,01:05:28,06:44:29,04:37:30,00:04:40,00:08:02,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=504&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=504&rd=20161112
875,"Tan, Kok Lam",male,mys,45-49,"1,000",667,95,577,15:40:08,01:37:29,06:19:33,07:12:13,00:12:24,00:18:29,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=875&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=875&rd=20161112
152,"Widmann, Philipp",male,deu,25-29,"4,954",22,2,21,09:34:38,00:57:57,05:01:37,03:30:33,00:02:37,00:01:54,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=152&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=152&rd=20161112
838,"Adnan, Samsul Bahari",male,mys,40-44,0,--,--,--,DNF,01:52:13,--:--:--,--:--:--,00:18:32,10:49:39,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=838&rd=2016-11-12,
391,"Vivanco Maldonado, Manuel Augusto",male,esp,35-39,"4,770",54,10,49,10:12:55,00:56:36,05:38:06,03:30:56,00:03:28,00:03:49,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=391&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=391&rd=20161112
900,"Leong, Carmen",female,mys,45-49,"3,465",322,6,50,12:58:29,01:35:35,06:35:09,04:39:20,00:04:35,00:03:50,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=900&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=900&rd=20161112
720,"Alarcon Alacio, Salvador",male,esp,40-44,"4,597",44,2,40,10:04:00,01:02:12,05:20:02,03:34:53,00:03:33,00:03:20,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=720&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=720&rd=20161112
